"","n","m","y","q","x","m_qy","xy_m","h","is_h_max","is_m_qy_min","is_xy_m_min"
"19765",38,159,9,17,18,6,3,803.579947547463,FALSE,FALSE,FALSE
"19766",38,159,10,15,16,9,1,805.036314164195,FALSE,FALSE,TRUE
"19767",38,159,11,14,15,5,6,802.107642343467,FALSE,FALSE,FALSE
"19768",38,159,12,13,14,3,9,801.880756899773,FALSE,TRUE,FALSE
"19769",38,160,5,32,32,0,0,812.027810437412,TRUE,TRUE,TRUE
"19770",38,160,6,26,27,4,2,810.431056149641,FALSE,FALSE,FALSE
"19771",38,160,7,22,23,6,1,811.121855541992,FALSE,FALSE,FALSE
"19772",38,160,8,20,20,0,0,812.027810437412,TRUE,TRUE,TRUE
"19773",38,160,9,17,18,7,2,810.312826568657,FALSE,FALSE,FALSE
"19774",38,160,10,16,16,0,0,812.027810437412,TRUE,TRUE,TRUE
"19775",38,160,11,14,15,6,5,808.484959998584,FALSE,FALSE,FALSE
"19776",38,160,12,13,14,4,8,807.732558445862,FALSE,FALSE,FALSE
"19777",38,161,5,32,33,1,4,816.509011076215,FALSE,FALSE,FALSE
"19778",38,161,6,26,27,5,1,817.21015366089,FALSE,FALSE,FALSE
"19779",38,161,7,23,23,0,0,818.106102762498,TRUE,TRUE,TRUE
"19780",38,161,8,20,21,1,7,816.048136158524,FALSE,FALSE,FALSE
"19781",38,161,9,17,18,8,1,817.189052651884,FALSE,FALSE,FALSE
"19782",38,161,10,16,17,1,9,815.831017730532,FALSE,FALSE,FALSE
"19783",38,161,11,14,15,7,4,815.029724628523,FALSE,FALSE,FALSE
"19784",38,161,12,13,14,5,7,813.837031531167,FALSE,FALSE,FALSE
"19785",38,162,5,32,33,2,3,822.376506076137,FALSE,FALSE,FALSE
"19786",38,162,6,27,27,0,0,824.190606307646,TRUE,TRUE,TRUE
"19787",38,162,7,23,24,1,6,822.263027724479,FALSE,FALSE,FALSE
"19788",38,162,8,20,21,2,6,821.454756240756,FALSE,FALSE,FALSE
"19789",38,162,9,18,18,0,0,824.190606307646,TRUE,TRUE,TRUE
"19790",38,162,10,16,17,2,8,821.020519384771,FALSE,FALSE,FALSE
"19791",38,162,11,14,15,8,3,821.717836320494,FALSE,FALSE,FALSE
"19792",38,162,12,13,14,6,6,820.142859751978,FALSE,FALSE,FALSE
"19793",38,163,5,32,33,3,2,828.767249219824,TRUE,FALSE,TRUE
